section	virtual_address	name
Functions	0x43a79c	CheckValidPlayer_
Functions	0x43a7dc	SavePlayer_
Functions	0x43a8bc	RestorePlayer_
Functions	0x43a9cc	itostndn_
Functions	0x43aaec	DrawCard_
Functions	0x43ae3c	XltPerk_
Functions	0x43ae84	FldrButton_
Functions	0x43af40	InfoButton_
Functions	0x43b230	SliderBtn_
Functions	0x43b64c	tagskl_free_
Functions	0x43b67c	TagSkillSelect_
Functions	0x43b8a8	ListTraits_
Functions	0x43bae8	get_trait_count_
Functions	0x43bb0c	TraitSelect_
Functions	0x43bce0	list_karma_
Functions	0x43c1b0	editor_save_
Functions	0x43c1e0	editor_load_
Functions	0x43c20c	editor_reset_
Functions	0x43c228	UpdateLevel_
Functions	0x43c398	RedrwDPrks_
Functions	0x43c4f0	perks_dialog_
Functions	0x43cacc	InputPDLoop_
Functions	0x43d0bc	ListDPerks_
Functions	0x43d2f8	RedrwDMPrk_
Functions	0x43d38c	GetMutateTrait_
Functions	0x43d668	RedrwDMTagSkl_
Functions	0x43d6f8	Add4thTagSkill_
Functions	0x43d81c	ListNewTagSkills_
Functions	0x43d960	ListMyTraits_
Functions	0x43db48	name_sort_comp_
